Year,ONI
1951,ENM
1952,ENW
1953,Neutral
1954,LNW
1955,LNM
1956,LNW
1957,ENS
1958,ENW
1959,Neutral
1960,Neutral
1961,Neutral
1962,Neutral
1963,ENM
1964,LNW
1965,ENS
1966,Neutral
1967,Neutral
1968,ENM
1969,ENW
1970,LNM
1971,LNW
1972,ENS
1973,LNS
1974,LNW
1975,LNM
1976,ENW
1977,ENW
1978,ENW
1979,ENW
1980,Neutral
1981,Neutral
1982,ENV
1983,LNW
1984,LNW
1985,LNW
1986,ENM
1987,ENS
1988,LNS
1989,LNS
1990,Neutral
1991,ENS
1992,LNS
1993,Neutral
1994,ENM
1995,LNM
1996,Neutral
1997,ENV
1998,LNS
1999,LNS
2000,LNW
2001,Neutral
2002,ENM
2003,Neutral
2004,ENW
2005,LNW
2006,ENW
2007,LNS
2008,LNW
2009,ENM
2010,LNS
2011,LNM
2012,Neutral
2013,Neutral
2014,ENW
2015,ENV
2016,LNW
2017,LNW
2018,ENW
2019,Neutral
2020,LNM
2021,LNM
2022,LNW
2023,ENS
2024,NA
2025,NA
